source_string,code_system,concept_id,concept_name,domain_id,vocabulary_id,mapping_version,decided_by,decided_on,note
50833,SOURCE,3036243,Potassium [Moles/volume] in Body fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50833 'Potassium' (Other Body Fluid; Blood Gas); community mapping, imported 2026-09-11"
50834,SOURCE,3022810,Sodium [Moles/volume] in Body fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50834 'Sodium, Body Fluid' (Other Body Fluid; Blood Gas); community mapping, imported 2026-09-11"
50835,SOURCE,3026692,Albumin [Mass/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50835 'Albumin, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50836,SOURCE,3008691,Amylase [Enzymatic activity/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50836 'Amylase, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50837,SOURCE,40757491,Bicarbonate [Moles/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50837 'Bicarbonate, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50838,SOURCE,3011004,Bilirubin.total [Mass/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50838 'Bilirubin, Total, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50839,SOURCE,3043156,Chloride [Moles/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50839 'Chloride, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50840,SOURCE,3002651,Cholesterol [Mass/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50840 'Cholesterol, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50841,SOURCE,3016647,Creatinine [Mass/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50841 'Creatinine, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50842,SOURCE,3002240,Glucose [Mass/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50842 'Glucose, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
